city,price,,,,,,
北　　京,124.7,,,,,,
天　　津,123.2,,,,,,
石 家 庄,118.5,,,,,,
太　　原,102.9,,,,,,
呼和浩特,101,,,,,,
沈　　阳,103.2,,,,,,
大　　连,102.5,,,,,,
长　　春,104.3,,,,,,
哈 尔 滨,102.1,,,,,,
上　　海,123.8,,,,,,
南　　京,135.4,,,,,,
杭　　州,127.4,,,,,,
宁　　波,111.1,,,,,,
合　　肥,144,,,,,,
福　　州,125.5,,,,,,
厦　　门,138.4,,,,,,
南　　昌,114.3,,,,,,
济　　南,119,,,,,,
青　　岛,113,,,,,,
郑　　州,127.3,,,,,,
武　　汉,123,,,,,,
长　　沙,117.9,,,,,,
广　　州,124,,,,,,
深　　圳,118.2,,,,,,
南　　宁,110.2,,,,,,
海　　口,106.5,,,,,,
重　　庆,107.7,,,,,,
成　　都,105.3,,,,,,
贵　　阳,105.3,,,,,,
昆　　明,104.2,,,,,,
西　　安,107.6,,,,,,
兰　　州,103.2,,,,,,
西　　宁,102.3,,,,,,
银　　川,102.4,,,,,,
乌鲁木齐,99.1,,,,,,
唐　　山,103.2,,,,,,
秦 皇 岛,107,,,,,,
包　　头,100.2,,,,,,
丹　　东,99.8,,,,,,
锦　　州,97.7,,,,,,
吉　　林,102.6,,,,,,
牡 丹 江,99.3,,,,,,
无　　锡,134.4,,,,,,
扬　　州,110.3,,,,,,
徐　　州,109.6,,,,,,
温　　州,104.4,,,,,,
金　　华,106.8,,,,,,
蚌　　埠,109.8,,,,,,
安　　庆,107.7,,,,,,
泉　　州,109.8,,,,,,
九　　江,112.2,,,,,,
赣　　州,114,,,,,,
烟　　台,105.5,,,,,,
济　　宁,102,,,,,,
洛　　阳,105,,,,,,
平 顶 山,103.5,,,,,,
宜　　昌,105.9,,,,,,
襄　　阳,103.2,,,,,,
岳　　阳,105.8,,,,,,
常　　德,103.3,,,,,,
惠　　州,124.7,,,,,,
湛　　江,109.3,,,,,,
韶　　关,108.7,,,,,,
桂　　林,103.8,,,,,,
北　　海,104.5,,,,,,
三　　亚,106.3,,,,,,
泸　　州,103,,,,,,
南　　充,102,,,,,,
遵　　义,102,,,,,,
大　　理,102.6,,,,,,
